[1650205800, 0.0888],
[1650292200, 0.0888],
[1650378600, 0.0786],
[1650465000, 0.0914],
[1650551400, 0.0914],
[1650637800, 0.0914],
[1650724200, 0.0165],
[1650810600, 0.0934],
[1650897000, 0.0934],
[1650983400, 0.0934],
[1651069800, 0.0981],
[1651156200, 0.0178],
[1651242600, 0.0888],
[1651329000, 0.0178],
[1651415400, 0.0178],
[1651501800, 0.0178],
[1651588200, 0.0806],
[1651674600, 0.0806],
[1651761000, 0.0198],
[1651847400, 0.0806],
[1651933800, 0.0806],
[1652020200, 0.0806],
[1652106600, 0.0806],
[1652193000, 0.0806],
[1652279400, 0.0806],
[1652365800, 0.0806],
[1652452200, 0.0806],
[1652538600, 0.0806],
[1652625000, 0.0198],
[1652711400, 0.0806],
[1652797800, 0.0806],
[1652884200, 0.0806],
[1652970600, 0.0806],
[1653057000, 0.0806],
[1653143400, 0.0806],
[1653229800, 0.0806],
[1653316200, 0.0198],
[1653402600, 0.0806],
[1653489000, 0.0934],
[1653575400, 0.0934],
[1653661800, 0.0934],
[1653748200, 0.0853],
[1653834600, 0.0198],
[1653921000, 0.0198],
[1654007400, 0.0934],
[1654093800, 0.0198],
[1654180200, 0.0934],
[1654266600, 0.0806],
[1654353000, 0.0981],
[1654439400, 0.0198],
[1654525800, 0.0981],
[1654612200, 0.0981],
[1654698600, 0.0806],
[1654785000, 0.0806],
[1654871400, 0.1027],
[1654957800, 0.1353],
[1655044200, 0.1353],
[1655130600, 0.1353],
[1655217000, 0.1353],
[1655303400, 0.1353],
[1655389800, 0.1353],
[1655476200, 0.1073],
[1655562600, 0.1073],
[1655649000, 0.1379],
[1655735400, 0.1379],
[1655821800, 0.1201],
[1655908200, 0.1155],
[1655994600, 0.1155],
[1656081000, 0.1201],
[1656167400, 0.1201],
[1656253800, 0.1379],
[1656340200, 0.1379],
[1656426600, 0.1379],
[1656513000, 0.1201],
[1656599400, 0.1155],
[1656685800, 0.1155],
[1656772200, 0.1201],
[1656858600, 0.1201],
[1656945000, 0.1155],
[1657031400, 0.1201],
[1657117800, 0.0934],
[1657204200, 0.0981],
[1657290600, 0.0981],
[1657377000, 0.0981],
[1657463400, 0.1248],
[1657549800, 0.1248],
[1657636200, 0.1248],
[1657722600, 0.1248],
[1657809000, 0.132],
[1657895400, 0.1248],
[1657981800, 0.1294],
[1658068200, 0.132],
[1658154600, 0.1353],
[1658241000, 0.0981],
[1658327400, 0.0981],
[1658413800, 0.1379],
[1658500200, 0.1379],
[1658586600, 0.0981],
[1658673000, 0.0981],
[1658759400, 0.1353],
[1658845800, 0.1353],
[1658932200, 0.1248],
[1659018600, 0.1248],
[1659105000, 0.0806],
[1659191400, 0.0806],
[1659277800, 0.0888],
[1659364200, 0.0888],
[1659450600, 0.0806],
[1659537000, 0.0806],
[1659623400, 0.0806],
[1659709800, 0.1353],
[1659796200, 0.0806],
[1659882600, 0.0806],
[1659969000, 0.0806],
[1660055400, 0.1073],
[1660141800, 0.1073],
[1660228200, 0.0806],
[1660314600, 0.1073],
[1660401000, 0.1073],
[1660487400, 0.1073],
[1660573800, 0.1073],
[1660660200, 0.0806],
[1660746600, 0.1155],
[1660833000, 0.1201],
[1660919400, 0.0165],
[1661005800, 0.1201],
[1661092200, 0.1201],
[1661178600, 0.1201],
[1661265000, 0.1201],
[1661351400, 0.1155],
[1661437800, 0.1155],
[1661524200, 0.1155],
[1661610600, 0.1181],
[1661697000, 0.0823],
[1661783400, 0.1181],
[1661869800, 0.1227],
[1661956200, 0.0823],
[1662042600, 0.0823],
[1662129000, 0.0797],
[1662215400, 0.1227],
[1662301800, 0.1227],
[1662388200, 0.1227],
[1662474600, 0.1227],
[1662561000, 0.1227],
[1662647400, 0.1227],
[1662733800, 0.1227],
[1662820200, 0.0905],
[1662906600, 0.1227],
[1662993000, 0.1227],
[1663079400, 0.0905],
[1663165800, 0.0905],
[1663252200, 0.0905],
[1663338600, 0.0905],
[1663425000, 0.0823],
[1663511400, 0.0879],
[1663597800, 0.0905],
[1663684200, 0.0905],
[1663770600, 0.0905],
[1663857000, 0.1155],
[1663943400, 0.1155],
[1664029800, 0.1155],
[1664116200, 0.0806],
[1664202600, 0.0057],
[1664289000, 0.0806],
[1664375400, 0.1073],
[1664461800, 0.11],
[1664548200, 0.1181],
[1664634600, 0.1181],
[1664717400, 0.11],
[1664803800, 0.1181],
[1664890200, 0.0806],
[1664976600, 0.0806],
[1665063000, 0.0806],
[1665149400, 0.0833],
[1665235800, 0.0833],
[1665322200, 0.0833],
[1665408600, 0.0833],
[1665495000, 0.0833],
[1665581400, 0.0833],
[1665667800, 0.1181],
[1665754200, 0.1181],
[1665840600, 0.1181],
[1665927000, 0.1181],
[1666013400, 0.0076],
[1666099800, 0.0165],
[1666186200, 0.0165],
[1666272600, 0.0165],
[1666359000, 0.0165],
[1666445400, 0.0165],
[1666531800, 0.0165],
[1666618200, 0.0165],
[1666704600, 0.1227],
[1666791000, 0.124],
[1666877400, 0.124],
[1666963800, 0.102],
[1667050200, 0.1287],
[1667136600, 0.0806],
[1667223000, 0.096],
[1667309400, 0.096],
[1667395800, 0.0786],
[1667482200, 0.0786],
[1667568600, 0.0786],
[1667655000, 0.096],
[1667741400, 0.096],
[1667827800, 0.096],
[1667914200, 0.0806],
[1668000600, 0.0806],
[1668087000, 0.096],
[1668173400, 0.102],
[1668259800, 0.0086],
[1668346200, 0.0086],
[1668432600, 0.0086],
[1668519000, 0.1025],
[1668605400, 0.0965],
[1668691800, 0.0965],
[1668778200, 0.1232],
[1668864600, 0.1206],
[1668951000, 0.1232],
[1669037400, 0.1279],
[1669123800, 0.1105],
[1669210200, 0.1105],
[1669296600, 0.1105],
[1669383000, 0.1105],
[1669469400, 0.1105],
[1669555800, 0.1186],
[1669642200, 0.1279],
[1669728600, 0.1279],
[1669815000, 0.1186],
[1669901400, 0.1279],
[1669987800, 0.1279],
[1670074200, 0.1279],
[1670160600, 0.1253],
[1670247000, 0.1253],
[1670333400, 0.1248],
[1670419800, 0.1248],
[1670506200, 0.1248],
[1670592600, 0.1248],
[1670679000, 0.1248],
[1670765400, 0.1248],
[1670851800, 0.1248],
[1670938200, 0.1248],
[1671024600, 0.1248],
[1671111000, 0.1248],
[1671197400, 0.1135],
[1671283800, 0.1181],
[1671370200, 0.0593],
[1671456600, 0.1181],
[1671543000, 0.1181],
[1671629400, 0.1181],
[1671715800, 0.11],
[1671802200, 0.11],
[1671888600, 0.1248],
[1671975000, 0.132],
[1672061400, 0.1274],
[1672147800, 0.1274],
[1672234200, 0.132],
[1672320600, 0.1622],
[1672407000, 0.1426],
[1672493400, 0.0165],
[1672579800, 0.0086],
[1672666200, 0.0086],
[1672752600, 0.1426],
[1672839000, 0.1426],
[1672925400, 0.1426],
[1673011800, 0.1367],
[1673098200, 0.1426],
[1673184600, 0.1341],
[1673271000, 0.1426],
[1673357400, 0.1426],
[1673443800, 0.1106],
[1673530200, 0.1379],
[1673616600, 0.1426],
[1673703000, 0.1426],
[1673789400, 0.1426],
[1673875800, 0.1379],
[1673962200, 0.0432],
[1674048600, 0.1529],
[1674135000, 0.1576],
[1674221400, 0.1426],
[1674307800, 0.1426],
[1674394200, 0.1426],
[1674480600, 0.1261],
[1674567000, 0.0465],
[1674653400, 0.12],
[1674739800, 0.1261],
[1674826200, 0.106],
[1674912600, 0.1133],
[1674999000, 0.1133],
[1675085400, 0.1133],
[1675171800, 0.1214],
[1675258200, 0.1133],
[1675344600, 0.1214],
[1675431000, 0.124],
[1675517400, 0.124],
[1675603800, 0.1287],
[1675690200, 0.1287],
[1675776600, 0.112],
[1675863000, 0.1227],
[1675949400, 0.1227],
[1676035800, 0.1132],
[1676122200, 0.1227],
[1676208600, 0.1146],
[1676295000, 0.1146],
[1676381400, 0.1227],
[1676467800, 0.1227],
[1676554200, 0.1146],
[1676640600, 0.1146],
[1676727000, 0.1146],
